[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [DEBUG] [100] Blink: 0 | Stress: 1 | Parlato: False | Buffer: 100
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:00] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:59:01] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:59:01] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:00:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:00:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 13:00:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 13:00:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
